t,w,d,c,policy,schedule,evictions,trials,failures,failure_rate,failure_log2,failure_ci95_low,failure_ci95_high,exact_waterfall_failure,exact_waterfall_failure_log2,batch_failure_log2,batch_ci95_high_log2,mean_unplaced,p95_unplaced,output_columns,local_expansion_N,bin_solver_calls,index_bits,waterfall_pair_tests,main_one_hot_bits,repair_steps,repair_scan_units,rough_repair_index_bit_ops,optimized_repair_scan_units,rough_optimized_repair_index_bit_ops
16,3,8,0,uniform,global,16,50000,233,0.00466,-7.745454329782532,0.004099909616497284,0.005296197664732681,0.4377829213428655,-1.1917124212605936,0.0,0.0,0.00506,0,24,3,3,3,360,384,16,768,4608,768,4608
16,3,8,0,biased,global,32,50000,63,0.00126,-9.632360550936895,0.0009850363889441088,0.0016115932905500423,0.4377829213428655,-1.1917124212605936,-1.6323605509368952,-1.2772965803364118,0.00144,0,24,3,3,3,360,384,32,1536,9216,1536,9216
16,3,8,0,uniform,global,32,50000,59,0.00118,-9.72699742507497,0.0009149845507677209,0.0015216574204502933,0.4377829213428655,-1.1917124212605936,-1.7269974250749704,-1.3601406915555883,0.00134,0,24,3,3,3,360,384,32,1536,9216,1536,9216
16,3,8,0,oracle,none,0,50000,26,0.00052,-10.90920075629572,0.00035490248723052647,0.000761840890709359,0.4377829213428655,-1.1917124212605936,-2.9092007562957196,-2.3582226549976255,0.00056,0,24,3,3,3,360,384,0,0,0,0,0
16,3,8,1,waterfall,none,0,50000,4013,0.08026,-3.6391750336568163,0.07791064848445955,0.08267384311771969,0.07997800528203161,-3.6442528901921696,0.0,0.0,0.52402,2,25,4,3,3,360,384,0,0,0,0,0
16,3,8,1,biased,global,2,50000,1245,0.0249,-5.327710447481368,0.023570262855331856,0.026302734619760716,0.07997800528203161,-3.6442528901921696,0.0,0.0,0.46382,1,25,4,3,3,360,384,2,96,576,48,288
16,3,8,1,uniform,global,2,50000,2167,0.04334,-4.5281570363431385,0.04159001908411347,0.045160145148628636,0.07997800528203161,-3.6442528901921696,0.0,0.0,0.48392,1,25,4,3,3,360,384,2,96,576,48,288
16,3,8,1,biased,global,4,50000,425,0.0085,-6.878321443411748,0.007732232063943274,0.009343285214541254,0.07997800528203161,-3.6442528901921696,0.0,0.0,0.44618,1,25,4,3,3,360,384,4,192,1152,192,1152
16,3,8,1,uniform,global,4,50000,655,0.0131,-6.2542893780119995,0.012140108705453912,0.014134701798908482,0.07997800528203161,-3.6442528901921696,0.0,0.0,0.4509,1,25,4,3,3,360,384,4,192,1152,192,1152
16,3,8,1,biased,global,8,50000,93,0.00186,-9.07048166332878,0.001518676847799724,0.002277860643765453,0.07997800528203161,-3.6442528901921696,-1.0704816633287804,-0.7781047969217264,0.439,1,25,4,3,3,360,384,8,384,2304,384,2304
16,3,8,1,uniform,global,8,50000,114,0.00228,-8.776750460272071,0.0018984511356400714,0.0027380218243748225,0.07997800528203161,-3.6442528901921696,-0.7767504602720702,-0.5126503385075303,0.43944,1,25,4,3,3,360,384,8,384,2304,384,2304
16,3,8,1,biased,global,16,50000,25,0.0005,-10.965784284662087,0.00033871117174399457,0.0007380352791268567,0.07997800528203161,-3.6442528901921696,-2.965784284662087,-2.4040225987585355,0.43754,1,25,4,3,3,360,384,16,768,4608,768,4608
16,3,8,1,uniform,global,16,50000,20,0.0004,-11.287712379549449,0.00025896487722254816,0.0006177969383031321,0.07997800528203161,-3.6442528901921696,-3.287712379549449,-2.6605796583181704,0.43742,1,25,4,3,3,360,384,16,768,4608,768,4608
16,3,8,1,biased,global,32,50000,10,0.0002,-12.287712379549449,0.00010864321606212385,0.0003681493287732145,0.07997800528203161,-3.6442528901921696,-4.28771237954945,-3.4074213084244804,0.43724,1,25,4,3,3,360,384,32,1536,9216,1536,9216
16,3,8,1,uniform,global,32,50000,10,0.0002,-12.287712379549449,0.00010864321606212385,0.0003681493287732145,0.07997800528203161,-3.6442528901921696,-4.28771237954945,-3.4074213084244804,0.43722,1,25,4,3,3,360,384,32,1536,9216,1536,9216
16,3,8,1,oracle,none,0,50000,2,4e-05,-14.609640474436812,1.0969511301390654e-05,0.00014584761698167403,0.07997800528203161,-3.6442528901921696,-6.609640474436811,-4.743250565454653,0.00074,0,25,4,3,3,360,384,0,0,0,0,0
16,3,8,2,waterfall,none,0,50000,295,0.0059,-7.405069330187608,0.005265631124710211,0.006610285634799875,0.006503025070218051,-7.26467329904945,0.0,0.0,0.52352,2,26,5,3,3,360,384,0,0,0,0,0
16,3,8,2,biased,global,2,50000,81,0.00162,-9.269790471552188,0.0013037198448774948,0.002012854521859271,0.006503025070218051,-7.26467329904945,-1.269790471552187,-0.9565413787597725,0.51898,2,26,5,3,3,360,384,2,96,576,48,288
16,3,8,2,uniform,global,2,50000,140,0.0028,-8.480357457491845,0.002373479576989048,0.003302913486820736,0.006503025070218051,-7.26467329904945,-0.4803574574918453,-0.24204510304024845,0.52026,2,26,5,3,3,360,384,2,96,576,48,288
16,3,8,2,biased,global,4,50000,24,0.00048,-11.024677973715656,0.00032259403287430934,0.0007141554909275077,0.006503025070218051,-7.26467329904945,-3.0246779737156557,-2.4514741574416647,0.51782,2,26,5,3,3,360,384,4,192,1152,192,1152
16,3,8,2,uniform,global,4,50000,38,0.00076,-10.361712960993227,0.0005537877445791476,0.0010429187581891485,0.006503025070218051,-7.26467329904945,-2.361712960993226,-1.9051575062125012,0.5181,2,26,5,3,3,360,384,4,192,1152,192,1152
16,3,8,2,biased,global,8,50000,3,6e-05,-14.024677973715656,2.040561961297866e-05,0.00017640843573912024,0.006503025070218051,-7.26467329904945,-6.024677973715655,-4.468792828245825,0.51738,2,26,5,3,3,360,384,8,384,2304,384,2304
16,3,8,2,uniform,global,8,50000,5,0.0001,-13.287712379549449,4.271475513603366e-05,0.0002340931543541336,0.006503025070218051,-7.26467329904945,-5.28771237954945,-4.060629633581999,0.51742,2,26,5,3,3,360,384,8,384,2304,384,2304
16,3,8,2,biased,global,16,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.006503025070218051,-7.26467329904945,-inf,-5.668097022777023,0.51732,2,26,5,3,3,360,384,16,768,4608,768,4608
16,3,8,2,uniform,global,16,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.006503025070218051,-7.26467329904945,-inf,-5.668097022777023,0.51732,2,26,5,3,3,360,384,16,768,4608,768,4608
16,3,8,2,biased,global,32,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.006503025070218051,-7.26467329904945,-inf,-5.668097022777023,0.51732,2,26,5,3,3,360,384,32,1536,9216,1536,9216
16,3,8,2,uniform,global,32,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.006503025070218051,-7.26467329904945,-inf,-5.668097022777023,0.51732,2,26,5,3,3,360,384,32,1536,9216,1536,9216
16,3,8,2,oracle,none,0,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.006503025070218051,-7.26467329904945,-inf,-5.668097022777023,0.0006,0,26,5,3,3,360,384,0,0,0,0,0
16,3,10,0,waterfall,none,0,50000,8848,0.17696,-2.4985048042021045,0.17363973794587248,0.18032989603508712,0.17507766741477812,-2.5139330269055415,0.0,0.0,0.18964,1,30,3,3,4,360,480,0,0,0,0,0
16,3,10,0,biased,global,2,50000,1929,0.03858,-4.696003046387708,0.036927030358158766,0.04030386523215321,0.17507766741477812,-2.5139330269055415,0.0,0.0,0.04092,0,30,3,3,4,360,480,2,96,768,48,384
16,3,10,0,uniform,global,2,50000,4193,0.08386,-3.575873359590422,0.08146232684443133,0.08632161163017407,0.17507766741477812,-2.5139330269055415,0.0,0.0,0.08982,1,30,3,3,4,360,480,2,96,768,48,384
16,3,10,0,biased,global,4,50000,510,0.0102,-6.6152870375779536,0.009356140335730899,0.01111911574362154,0.17507766741477812,-2.5139330269055415,0.0,0.0,0.01066,0,30,3,3,4,360,480,4,192,1536,192,1536
16,3,10,0,uniform,global,4,50000,896,0.01792,-5.802285552379208,0.016793688635611575,0.01912038129238806,0.17507766741477812,-2.5139330269055415,0.0,0.0,0.01864,0,30,3,3,4,360,480,4,192,1536,192,1536
16,3,10,0,biased,global,8,50000,76,0.00152,-9.361712960993227,0.0012146957083242044,0.0019018940230673912,0.17507766741477812,-2.5139330269055415,-1.3617129609932261,-1.038347425768954,0.00154,0,30,3,3,4,360,480,8,384,3072,384,3072
16,3,10,0,uniform,global,8,50000,87,0.00174,-9.166696978588083,0.0014109836555540496,0.002145572273596922,0.17507766741477812,-2.5139330269055415,-1.1666969785880834,-0.8644217855782584,0.00178,0,30,3,3,4,360,480,8,384,3072,384,3072
16,3,10,0,biased,global,16,50000,9,0.00018,-12.4397154729945,9.470426823108684e-05,0.00034209134953521727,0.17507766741477812,-2.5139330269055415,-4.439715472994499,-3.513330756415378,0.00018,0,30,3,3,4,360,480,16,768,6144,768,6144
16,3,10,0,uniform,global,16,50000,11,0.00022,-12.150208855799514,0.00012285301612294445,0.000393936455781428,0.17507766741477812,-2.5139330269055415,-4.150208855799514,-3.3097494461176975,0.00024,0,30,3,3,4,360,480,16,768,6144,768,6144
16,3,10,0,biased,global,32,50000,2,4e-05,-14.609640474436812,1.0969511301390654e-05,0.00014584761698167403,0.17507766741477812,-2.5139330269055415,-6.609640474436811,-4.743250565454653,4e-05,0,30,3,3,4,360,480,32,1536,12288,1536,12288
16,3,10,0,uniform,global,32,50000,2,4e-05,-14.609640474436812,1.0969511301390654e-05,0.00014584761698167403,0.17507766741477812,-2.5139330269055415,-6.609640474436811,-4.743250565454653,4e-05,0,30,3,3,4,360,480,32,1536,12288,1536,12288
