selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
uniform,0.0,0,6,0.0,-96.00013208166817,0.0,128.00845742152802,128.00845742152802,-0.008457421528021314
leakage,0.0,0,7,0.0,-112.00015409527953,0.0,128.0098669917827,128.0098669917827,-0.009866991782701007
leakage,0.25,0,7,0.0,-112.00015409527953,0.0,127.75819489806038,127.75819489806038,0.2418051019396188
leakage,0.5,0,7,0.0,-112.00015409527953,0.0,127.56818834626448,127.56818834626448,0.4318116537355223
leakage,1.0,0,7,0.0,-112.00015409527953,0.0,127.3698162417831,127.3698162417831,0.6301837582169014
leakage,2.0,0,7,0.0,-112.00015409527953,0.0,127.67361770757769,127.67361770757769,0.3263822924223092
leakage,4.0,0,7,0.0,-112.00015409527953,0.0,130.87996547718726,130.87996547718726,-2.8799654771872554
leakage,8.0,0,7,0.0,-112.00015409527953,0.0,146.26465868432058,146.26465868432058,-18.26465868432058
uniform,0.0,0,7,0.0,-112.00015409527953,0.0,128.0098669917827,128.0098669917827,-0.009866991782701007
leakage,0.0,0,8,0.0,-128.00017610889088,0.0,128.01127656203738,128.01127656203738,-0.0112765620373807
leakage,0.25,0,8,0.0,-128.00017610889088,0.0,127.75960446831505,127.75960446831505,0.2403955316849533
leakage,0.5,0,8,0.0,-128.00017610889088,0.0,127.56959791651916,127.56959791651916,0.43040208348084263
leakage,1.0,0,8,0.0,-128.00017610889088,0.0,127.37122581203776,127.37122581203776,0.6287741879622359
leakage,2.0,0,8,0.0,-128.00017610889088,0.0,127.67502727783237,127.67502727783237,0.3249727221676295
leakage,4.0,0,8,0.0,-128.00017610889088,0.0,130.88137504744194,130.88137504744194,-2.881375047441935
leakage,8.0,0,8,0.0,-128.00017610889088,0.0,146.26606825457523,146.26606825457523,-18.26606825457523
uniform,0.0,0,8,0.0,-128.00017610889088,0.0,128.01127656203738,128.01127656203738,-0.0112765620373807
leakage,0.0,0,9,0.0,-144.00019812250224,0.0,128.01268613229203,128.01268613229203,-0.01268613229203197
leakage,0.25,0,9,0.0,-144.00019812250224,0.0,127.76101403856973,127.76101403856973,0.23898596143027362
leakage,0.5,0,9,0.0,-144.00019812250224,0.0,127.57100748677382,127.57100748677382,0.42899251322617715
leakage,1.0,0,9,0.0,-144.00019812250224,0.0,127.37263538229244,127.37263538229244,0.6273646177075562
leakage,2.0,0,9,0.0,-144.00019812250224,0.0,127.67643684808705,127.67643684808705,0.3235631519129498
leakage,4.0,0,9,0.0,-144.00019812250224,0.0,130.88278461769661,130.88278461769661,-2.8827846176966148
